nBids,PowerSeller,VerifyID,Sealed,Minblem,MajBlem,LargNeg,LogBook,MinBidShare,Sold
6,1,0,0,0,0,0,-0.052000000000000005,-0.3215,1
6,1,0,0,0,0,0,0.0332,-0.3424,1
2,1,0,0,0,0,0,-0.4608,0.3521,1
2,1,0,0,0,0,0,-0.2477,-0.2661,1
3,1,0,0,1,0,0,-0.9142,0.4739,1
2,1,0,0,0,0,0,-0.2779,-0.0211,1
3,1,0,0,0,0,0,-0.8141,0.3737,1
2,1,0,0,0,0,0,-0.9142,0.2634,1
0,0,0,0,0,0,0,-0.0767,0.3358,0
4,1,0,0,0,0,0,-0.9142,0.2634,1
6,1,0,0,0,0,0,-0.6398,-0.1385,1
2,1,0,0,0,0,0,-1.0254,0.3623,1
1,1,0,0,0,0,0,-1.1506,0.4876,1
7,1,0,0,0,0,0,-0.3621,-0.245,1
1,1,0,0,0,0,0,-1.0254,0.5976,1
3,1,0,0,0,0,0,-0.5628,0.3105,1
0,1,0,0,0,0,0,-0.3033,0.1646,0
2,1,0,0,0,0,0,-0.9142,0.4739,1
2,1,0,0,0,0,0,-0.6044,0.271,1
1,1,0,0,0,0,0,-0.7231,0.29100000000000004,1
8,1,0,0,0,0,0,0.674,-0.4596,1
1,1,0,0,0,0,0,-0.7231,0.37799999999999995,1
0,1,0,0,0,0,0,-0.6398,0.3015,0
4,1,0,0,0,0,0,0.5108,-0.4318,1
1,1,0,0,0,0,0,-1.0254,-0.5777,1
1,1,0,0,0,0,0,-0.7231,0.2041,1
1,1,0,0,0,0,0,-1.0254,0.3623,1
0,1,0,0,0,0,0,-0.2779,0.146,0
1,1,0,0,0,0,0,-1.0254,0.3623,1
0,1,0,0,0,0,0,-0.7231,0.1606,0
1,1,0,0,0,0,0,-0.8141,0.2785,1
1,1,0,0,0,0,0,-0.8141,0.3737,1
4,1,0,0,0,1,0,0.1487,-0.3602,1
3,1,0,0,0,0,0,-0.4608,0.2912,1
2,1,0,0,0,0,0,-0.9142,0.4739,1
4,0,0,0,0,0,0,0.6073,-0.0084,1
7,0,0,0,0,0,1,0.1487,-0.298,1
3,0,0,1,0,0,0,-0.3621,0.3005,1
1,1,0,0,0,0,0,-0.052000000000000005,0.0001,1
1,0,0,0,1,0,0,-0.3033,0.3737,1
3,0,0,1,0,0,0,-0.3621,0.3005,1
4,0,0,0,1,0,0,0.3755,0.1441,1
1,0,0,0,0,0,0,-0.9142,0.6318,1
6,0,0,0,0,0,0,1.4347,-0.4068,1
2,0,0,0,0,0,0,-0.396,0.0179,1
6,0,0,0,0,0,0,0.9205,-0.418,1
10,1,0,0,0,0,0,1.4347,-0.3265,1
0,0,0,0,0,0,0,-0.9142,0.5265,0
4,1,0,0,0,0,0,-0.052000000000000005,-0.3215,1
0,0,0,0,0,0,0,-0.2477,0.2953,0
3,0,0,0,0,0,0,0.0332,-0.1792,1
1,0,0,0,0,0,0,-0.1723,0.1491,1
1,0,0,0,0,0,0,0.5108,0.5094,1
3,0,0,0,0,0,0,-0.052000000000000005,0.0845,1
7,1,0,0,0,0,0,0.5108,-0.402,1
4,0,0,0,1,0,0,0.3755,-0.3765,1
3,1,0,0,1,0,0,0.9205,-0.461,1
3,1,0,0,1,0,0,1.9993,-0.5379999999999999,1
6,1,0,0,1,0,0,0.40399999999999997,-0.3822,1
3,0,0,0,0,0,0,0.584,-0.2497,1
2,0,0,0,0,0,0,-0.3621,-0.3207,1
7,0,0,0,0,0,0,-0.052000000000000005,-0.4555,1
5,0,0,0,0,0,1,0.5108,-0.38299999999999995,1
3,1,0,0,0,0,0,-0.0767,-0.3845,1
1,1,0,0,0,0,0,-1.0254,0.5976,1
3,1,0,0,0,0,0,-0.6398,-0.1385,1
3,0,0,0,1,0,0,-0.396,0.1997,1
11,0,0,1,0,0,0,0.2189,-0.0865,1
2,1,0,0,1,0,0,-0.9142,0.4739,1
4,1,0,0,0,0,1,0.3755,-0.1157,1
5,0,0,0,1,0,1,0.3755,-0.3548,1
0,1,1,0,0,0,0,0.0332,0.6019,0
3,1,1,0,0,0,0,0.3295,0.4208,1
8,0,0,0,0,0,1,0.6073,-0.4009,1
8,0,0,0,0,0,0,0.3295,-0.3989,1
5,0,0,0,0,0,0,-0.4608,-0.1837,1
0,0,0,0,0,1,0,-0.0767,0.0806,0
4,1,0,0,0,1,0,0.1487,-0.3602,1
9,0,0,0,0,0,1,0.5108,-0.38299999999999995,1
